# time   signal
0.000000000000000000e+00 9.115577147212025011e+01
3.095338983050847403e+01 1.024084245573959180e+02
6.190677966101694807e+01 9.784590382410112852e+01
9.286016949152542566e+01 1.007414316099701352e+02
1.238135593220338961e+02 9.892535957995917784e+01
1.547669491525423666e+02 9.547386512179775764e+01
1.857203389830508513e+02 9.948133914086453444e+01
2.166737288135593360e+02 9.811136895914829381e+01
2.476271186440677923e+02 9.845331622831236018e+01
2.785805084745762770e+02 9.314833952147155571e+01
3.095338983050847332e+02 9.272012077206113645e+01
3.404872881355932464e+02 1.049073272179910958e+02
3.714406779661017026e+02 1.067986683135602419e+02
4.023940677966101589e+02 9.631368140981625459e+01
4.333474576271186720e+02 1.052538449443785282e+02
4.643008474576270714e+02 9.674050424463574416e+01
4.952542372881355845e+02 1.013013997202962742e+02
5.262076271186440408e+02 9.761050941780990797e+01
5.571610169491525539e+02 1.013268265352696034e+02
5.881144067796609534e+02 9.773349244000921487e+01
6.190677966101694665e+02 1.066870931354597332e+02
6.500211864406779796e+02 9.627912004534560708e+01
6.809745762711864927e+02 9.674801331100601942e+01
7.119279661016948921e+02 9.617792354396758014e+01
7.428813559322034052e+02 1.004225840919576171e+02
7.738347457627118047e+02 9.663599693955040948e+01
8.047881355932203178e+02 9.676503448266220175e+01
8.357415254237288309e+02 9.645116682284000831e+01
8.666949152542373440e+02 1.047769512639757892e+02
8.976483050847458571e+02 1.057407752683795223e+02
9.286016949152541429e+02 1.078109799671482705e+02
9.595550847457627697e+02 1.015283130912657867e+02
9.905084745762711691e+02 9.777287603876257549e+01
1.021461864406779569e+03 9.464013351907253480e+01
1.052415254237288082e+03 1.034880834041747448e+02
1.083368644067796595e+03 9.807633528713000715e+01
1.114322033898305108e+03 1.020359542510472437e+02
1.145275423728813621e+03 1.035005607182808802e+02
1.176228813559321907e+03 1.080912157259739246e+02
1.207182203389830647e+03 1.139888281567634465e+02
1.238135593220338933e+03 1.009689071215182281e+02
1.269088983050847446e+03 9.407208942515006811e+01
1.300042372881355959e+03 8.977107040218365341e+01
1.330995762711864245e+03 9.736426418846508568e+01
1.361949152542372985e+03 8.922787827084289347e+01
1.392902542372881271e+03 9.872367647502302646e+01
1.423855932203389784e+03 9.657288686122942067e+01
1.454809322033898297e+03 9.911550852981974913e+01
1.485762711864406810e+03 1.051662895468674463e+02
1.516716101694915324e+03 1.037914863972371080e+02
1.547669491525423609e+03 1.070934299460344192e+02
1.578622881355932350e+03 1.083678233682759071e+02
1.609576271186440636e+03 1.124002678694305786e+02
1.640529661016949149e+03 9.779063262194672745e+01
1.671483050847457662e+03 9.919140448852463976e+01
1.702436440677965948e+03 1.048302730718167624e+02
1.733389830508474688e+03 9.356038054455822817e+01
1.764343220338982974e+03 9.641180633860734872e+01
1.795296610169491714e+03 1.003139146000602437e+02
1.826250000000000000e+03 1.013993633116440378e+02
